,not_matched
0,C[N+]12CC(=O)O[B-]1(C=Cc1cccc(Br)c1)OC(=O)C2
1,Fc1c(-c2cnc3nc(-c4cccc(-c5ccc(-n6c7ccccc7c7ccccc76)c6ccccc56)c4F)ccc3c2)cccc1-c1ccc(-n2c3ccccc3c3ccccc32)c2ccccc12
2,c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c(-c2cnc3nc(-c4c(-c5ccc(-n6c7ccccc7c7ccccc76)c6ccccc56)cccc4-n4c5ccccc5c5ccccc54)ccc3c2)c(-n2c3ccccc3c3ccccc32)c1
3,Fc1ccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc3oc(-c4c(-c5ccc(F)c6ccccc56)cccc4-n4c5ccccc5c5ccccc54)cc3c2)c2ccccc12
4,Fc1ccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(Cl)c(-c3c(-c4ccc(F)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)s2)c2ccccc12
5,Clc1cc(-c2c(-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)cccc2-n2c3ccccc3c3ccccc32)sc1-c1c(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)cccc1-n1c2ccccc2c2ccccc21
6,Fc1ccc(-c2cccc(-c3cnc4nc(-c5cccc(-c6ccc(F)c7ccccc67)c5-n5c6ccccc6c6ccccc65)ccc4c3)c2-n2c3ccccc3c3ccccc32)c2ccccc12
7,Fc1c(-c2cc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3F)c3ccccc3c2)cccc1-c1ccc(-n2c3ccccc3c3ccccc32)c2ccccc12
8,Fc1cccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1-c1cc(Cl)c(-c2c(F)cccc2-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)s1
9,CC(=CBr)[B-]12OC(=O)C[N+]1(C)CC(=O)O2
10,CC(C)(C)c1ccc2c(-c3c(F)cccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3ccccc3c(-c3c(F)cccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c2c1
11,Fc1cccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1-c1cc(-c2c(F)cccc2-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c2ccccc2c1
12,Fc1cccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1-c1ccc2oc(-c3c(F)cccc3-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)cc2c1
13,c1cc(-c2ccc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3-n3c4ccccc4c4ccccc43)nc2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
14,CC(C)(C)c1ccc2c(-c3c(-c4ccc(F)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4ccc(F)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)c2c1
15,Fc1cccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1-c1cnc2nc(-c3c(F)cccc3-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)ccc2c1
16,Fc1ccc(-c2cccc(-c3ccc4oc(-c5cccc(-c6ccc(F)c7ccccc67)c5-n5c6ccccc6c6ccccc65)cc4c3)c2-n2c3ccccc3c3ccccc32)c2ccccc12
17,CC(C)(C)c1ccc2c(-c3c(-c4cc(F)cc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4cc(F)cc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c2c1
18,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3F)c3ccccc3c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3F)c2c1
19,Fc1ccc(-c2cccc(-c3cc(-c4cccc(-c5ccc(F)c6ccccc56)c4-n4c5ccccc5c5ccccc54)c4ccccc4c3)c2-n2c3ccccc3c3ccccc32)c2ccccc12
20,C[N+]12CC(=O)O[B-]1(/C=C\Br)OC(=O)C2
21,CC(C)(C)c1ccc2c(-c3c(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cccc3-n3c4ccccc4c4ccccc43)c2c1
22,CC(C)(C)c1ccc2c(-c3cccc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c2c1
23,CC(C)(C)c1ccc2c(-c3c(-c4ccnc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4ccnc(F)c4)cccc3-n3c4ccccc4c4ccccc43)c2c1
24,Fc1c(-c2ccc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3F)nc2)cccc1-c1ccc(-n2c3ccccc3c3ccccc32)c2ccccc12
25,CC(C)(C)c1ccc2c(-c3cccc(-c4cc(F)cc(F)c4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4cc(F)cc(F)c4)c3-n3c4ccccc4c4ccccc43)c2c1
26,CC(C)(C)c1ccc2c(-c3cccc(-c4ccc(F)c5ccccc45)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4ccc(F)c5ccccc45)c3-n3c4ccccc4c4ccccc43)c2c1
27,Fc1c(-c2cc(Cl)c(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3F)s2)cccc1-c1ccc(-n2c3ccccc3c3ccccc32)c2ccccc12
28,Fc1ccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-c3c(-c4ccc(F)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c2ccccc12
29,Fc1ccc(-c2cccc(-c3cc(Cl)c(-c4cccc(-c5ccc(F)c6ccccc56)c4-n4c5ccccc5c5ccccc54)s3)c2-n2c3ccccc3c3ccccc32)c2ccccc12
30,Clc1cc(-c2cccc(-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)c2-n2c3ccccc3c3ccccc32)sc1-c1cccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1-n1c2ccccc2c2ccccc21
31,CC(C)(C)c1ccc2c(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3F)c3ccccc3c(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3F)c2c1
32,CC(C)(C)c1ccc2c(-c3c(F)cccc3-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)c3ccccc3c(-c3c(F)cccc3-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)c2c1
33,Fc1c(-c2ccc3oc(-c4cccc(-c5ccc(-n6c7ccccc7c7ccccc76)c6ccccc56)c4F)cc3c2)cccc1-c1ccc(-n2c3ccccc3c3ccccc32)c2ccccc12
34,C[N+]12CC(=O)O[B-]1(C=Cc1ccccc1)OC(=O)C2
35,CC(C)(C)c1ccc2c(-c3c(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cccc3-n3c4ccccc4c4ccccc43)c2c1
36,CC(C)(C)c1ccc2c(-c3cccc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)c3F)c3ccccc3c(-c3cccc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)c3F)c2c1
37,Fc1cccc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1-c1ccc(-c2c(F)cccc2-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)nc1
38,Fc1ccc(-c2cccc(-c3ccc(-c4cccc(-c5ccc(F)c6ccccc56)c4-n4c5ccccc5c5ccccc54)nc3)c2-n2c3ccccc3c3ccccc32)c2ccccc12
39,CC(C)(C)c1ccc2c(-c3c(F)cccc3-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c3ccccc3c(-c3c(F)cccc3-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2c1
40,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4ccnc(F)c4)c3-n3c4ccccc4c4ccccc43)c2c1
41,c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c(-c2ccc3oc(-c4c(-c5ccc(-n6c7ccccc7c7ccccc76)c6ccccc56)cccc4-n4c5ccccc5c5ccccc54)cc3c2)c(-n2c3ccccc3c3ccccc32)c1
42,CC(C)(C)c1ccc2c(-c3c(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)c2c1
43,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c2c1
44,CC(C)(C)c1ccc2c(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3-n3c4ccccc4c4ccccc43)c2c1
45,c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c(-c2ccc(-c3c(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)nc2)c(-n2c3ccccc3c3ccccc32)c1
46,c1cc(-c2cc(-c3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)c3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
47,Fc1ccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc(-c3c(-c4ccc(F)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)nc2)c2ccccc12
48,c1cc(-c2ccc3oc(-c4cccc(-c5ccc(-n6c7ccccc7c7ccccc76)c6ccccc56)c4-n4c5ccccc5c5ccccc54)cc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
49,c1cc(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c(-c2cc(-c3c(-c4ccc(-n5c6ccccc6c6ccccc65)c5ccccc45)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c(-n2c3ccccc3c3ccccc32)c1
50,C[N+]12CC(=O)O[B-]1(/C=C/Br)OC(=O)C2
51,Fc1ccc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cnc3nc(-c4c(-c5ccc(F)c6ccccc56)cccc4-n4c5ccccc5c5ccccc54)ccc3c2)c2ccccc12
52,c1cc(-c2cnc3nc(-c4cccc(-c5ccc(-n6c7ccccc7c7ccccc76)c6ccccc56)c4-n4c5ccccc5c5ccccc54)ccc3c2)c(-n2c3ccccc3c3ccccc32)c(-c2ccc(-n3c4ccccc4c4ccccc43)c3ccccc23)c1
